Date,City,Cause of Death
07/24/2016,Mueang Saraburi District  -  Saraburi Province,Veh. Accid-Motorcy.
08/01/2016,Mueang -  Trang,Undetermined/unknown
09/02/2016,Village No. 1  -  Sattathip District -  Chon Buri Province,Veh. Accid-Motorcy.
09/07/2016,A. Muang -  Chiang Rai,Drowning
09/08/2016,Nai Mueang -  Mueang -  Chaiyaphum,Homicide
09/17/2016,T. Chang Pueak -  A. Muang -  Chiang Mai,Suicide
09/30/2016,Khlong Toei District -  Bangkok,Suicide
10/11/2016,Phaktop Sub-district -  Nong Han District -  Udon Thani,Other Accident
10/17/2016,Karon -  Phuket,Suicide
10/19/2016,Mueang Surat Thani District -  Surat Thani,Veh. Accid-Motorcy.
12/11/2016,A. Muang -  Phitsanulok ,Suicide
12/16/2016,Bang Lamung District - Chonburi,Suicide
